03CE3809,09RN3844,12 LM2566,96KK 4588,02 SO 3008,03 CE 368,11CN43,08 TN 7223,
91MN 2725,93 LM1984,03KK 8726,93MH211,07 MN8113,94 TS8005,09 MN 9637,09 OY 3985,
06G1509,97 MH 2759,09 KK 6395,92 OY 7749,05KK 3202,04 MN 9635,92 RN6847,06D6660,
12 LH6212,06CN 7970,93MN2413,10DL 9248,94LK5649,10CN5142,00 D1712,92KK 7897,
93 MN 6521,90 WW9129,09LS3059,98 CW 8341,91 L3829,05 LD 9824,93 C9619,05 DL 9314,
93WX 2227,93LK 4674,11SO 2757,01KE 5265,01 W5039,11MH 3066,11MN4889,97 L3440,
09WW 4010,93LD4275,10 LM3039,99D 1546,92C1756,05LS5740,07 KK8148,91KE 3722,
00 DL 8653,99 LS 1974,97 CN 3243,94D597,07 LK 4586,91 LK 9509,07 CE 5544,01 CE 3812,
06KY 3847,11 LH 9898,05RN3745,94LD6607,92D8357,94WW1036,98SO 1835,93MO 9773,
95CN 299,92 RN 6831,12 LD5062,91LH 6605,98 G 298,12 RN6590,10 D 1956,08 TN1350,
99 L 1337,00WW8377,06TS 8639,93 MO3078,01 LK 1736,07 WH5090,11 LD8111,08 G905,
96LH2709,05LM 7992,12KE7644,03 KY7029,10CE 7294,12 CN61,10D1972,02LM 1197,
99 KE7763,04 CN 625,08 WW 8580,97 LD3867,95W7986,90CW 3524,07WD4039,98LS 5597,
02LH5713,10 LK 3240,00 LK 7058,90RN6989,11 WH 7193,99MH7345,08 WD4766,10 WX6888,
03 G3178,95W8974,95 LM 3517,95D 6461,03 KY 944,08C10,97G4483,91 CE3293,
97DL 1696,04WH4179,05 TS7252,96 MO 2666,00W6460,11 LM 9372,02 DL 1706,99 KE 2840,
96 D 6405,90 WH117,97WH 9530,11MO7304,01 MH 5401,98KY4368,97MN 1910,95MN 9724,
92D 3591,04DL 3562,01OY9150,10SO6636,04 LM752,09CE1188,09LS 1314,00 OY8769,
96 LK7282,10LM3067,01 DL6235,92 G 4342,03 MO 8813,04 KE1954,06 KY2775,08TS6655,
00WX 7611,96 TN 152,04 WX2602,06CN3879,04 D 223,91 TN 6360,90 TN3336,02 KY1013,
91 W6115,93WH7173,96LM 9520,06MN2734,99MH 6466,00KK 9332,97 LK 5517,11G 1040,
93MO5689,97KE6130,92 KY6176,10TN3436,02DL 814,00 LM177,12 MH 6909,09WX 5765,
00 L 5371,93WH 5169,03TS4659,03 KK 8724,05 LK 5132,95 G 1246,99 TN5149,08WW 8589,
93 D2665,02 KE2038,08 WH9815,96LD748,97 WW6518,98 CN6628,93 LK7832,07KY9237,
04 CE8594,00 L 6257,97 MO 4751,90 D6682,99 TS 197,05G3861,92 LS 9454,93 D 6762,
92 CE 3181,04WX4256,02CE5339,92MO5647,93 LK 7625,09 L4180,07MN 9933,00 SO9719,
93 KY 1544,10TS 4238,11OY9528,10 KY 4303,01MH1263,01 KK9316,01CW1787,05LD2159,
07 SO 3315,96 TS 29,05 L9791,02 DL1016,03 KY 9931,94 LH 5338,91TN5546,94 WD6560,
04 TS 566,10 LH5673,06 MN9512,09 CN 971,07 C 1232,03W 6555,94 KE5463,04 KE 7338,
06 CE1938,10RN 5022,98LK 6654,96TS7109,96CW 9941,00 W4993,05L85,01WX1068,
05 SO 3185,91MO 3092,05 CE 515,93 L 4292,99KK 3862,96MO3439,05MN 4770,10 WW2042,
95MO 6796,91LH 8424,08LM9894,98KY 6543,10WD1036,95KE 2568,04WD 5715,03 C4313,
11WX5929,02KE8234,12KY3499,05G 9788,01 MH 4802,10OY 5166,99MH 7559,97 WX 3836,
92L320,11LH 583,98G 5883,90 D4944,99 LD5618,93MH 2943,11LK9137,07RN 6855,
08 L4376,03LD 337,11G4787,93MH8755,97 WX 1103,98MO3963,07KE4457,10LM 3168,
11MH158,97CW8182,96 LD 8145,03LK2264,01MN8240,04 WH 1176,12 CE8461,91KK5383,
04 G 424,91SO 4445,01LK1623,94 KK9280,08 CE 4202,08 KE 5078,10 DL9661,96 LD 7834,
03SO9447,96 KE 1963,91 L 9977,02KK9759,01 LS 4705,12 SO6005,91 D4189,93TS 1256,
08 MO 1800,11WD4788,00CN8080,93 RN5436,95 KE 1392,08DL 4054,05KY 8358,98 MO1865,
95TN1795,11 W 1970,99 WD9908,08W7636,98WH2138,09KK7155,10 RN 9296,08 MO 5981,
12 WH8781,10 L 8166,06 TS 6331,97 MH9622,02RN759,92W298,97 RN 5719,95KK3820,
99 WX5996,93 LH 5356,92 SO5014,00 WD8357,93CE 5047,01WD1412,06LD 3415,06LD 8585,
09LH 3153,07 LD2399,12LD8256,10L3088,11C 4596,11OY1929,12 MH2517,96 G9501,
01 WD 5479,07LS1709,92W 7084,02LH 608,02 WX2348,04MN2504,94RN 6120,99 WW 9910,
06TN 4387,02 KY4795,98 KK2417,96KE9602,09LK6305,04 LK6934,97WH 2335,96 RN4077,
10LD7472,05MH 926,97 C6638,97 LS8938,11KE376,07 CW9764,03 D4318,11 CE 8822,
01 WX 8049,99 G5678,96 WH1369,06WH7303,91 DL5759,06WH 5591,97 RN5381,03 TN8624,
90 SO 6899,04KE8626,03 MH 9795,98 D4059,05 KY6863,10LD 581,10MH8728,09LM 5330,
93 WD1437,10OY 1936,10 LS4336,07MH 3701,05W 8152,06 SO 9194,06 LD 3898,05 LK6081,
03LD9999,00 C4102,03KY2998,02L 8805,94 WD 907,93 SO1643,97 C 4481,95WD5624,
08G1433,02RN 5618,98 LS 229,94LS8846,07 CW 1322,98 LK 68,08 C4184,98LD 1610,
90TN 2684,00CE5805,05 KY 580,05MH4765,00 KY3897,10 DL 3967,02 LH806,99 CE 4025,
12KE 9597,93LM2574,01LD 6018,90TS 1672,99 MN 6552,08 SO 7861,95WW206,90D 2389,
93MO8601,01MH9379,00 C192,06TS4570,01 W 6435,92LS6720,99WW4822,98DL6847,
97C9481,12RN 6119,04D 5465,04 D4482,08WX7845,98 CN7145,01 CN3821,07RN 1798,
04LS1945,07LS 3229,90 LK 1077,95MN 4851,91 W 6225,06 MN 4829,95 MO 4438,99 LD3176,
03 DL1163,02 G753,09 LH 3188,93 TN 621,12 CN4677,05KE 1286,07 CW 6594,07 KE3035,
05 OY 9981,93 LH 6620,98TN199,10 LH4857,92WD 1933,95LM 5373,09MN 5342,08 WX7560,
02 D8017,10 SO 908,90WD 9097,07LK301,07LS3229,03LM 7609,06CN8223,92KE7138,
08 KY 305,94WH 5333,95LD1218,05SO5742,11 WD 8036,94 SO 7779,95LD7105,96 MN9621,
04 G 711,11WW 9741,02 LD8172,07 KY9587,99D1088,00 TN8867,95 W 6561,10MO 423,
98WX7813,97KY9845,08 SO1325,01 CN 5509,95 KE 5641,04 C2792,00CN 3377,10 DL5567,
02 WX3417,92 CE 2967,93 OY593,11 L 7558,90 CE435,02TN5974,10 D4240,10 WD6334,
95 LH6428,06 MO 1055,00CW 918,95 G 4625,03 RN 4275,97RN5239,05SO1189,10RN6631,
06KE7266,12WH 2718,03LK 7218,92 KK6622,09LH 4700,02WH7047,95 LK 6897,03G 6715,
00 WD517,96 C8543,97 KY1140,12MH7293,01G 9666,05RN5589,93CW4354,92 OY 9418,
09 WD 6016,03KY 6458,97 D5430,06WH1000,91 TS3704,95WW7726,95WD8009,08SO7484,
92KK 1062,00 LK6380,10 TN4261,91RN3398,94 CE 2487,94LM5295,03 MN 5972,97L 3170,
00TN 8953,92 CN5931,96KY309,05RN8370,10 MH 2262,92LD 7790,90 DL5312,03SO3731,
11 KE 1545,94 WD 1461,08 MH 1917,95 CW 6104,92 KE3080,95 D921,01LM5038,09 W8934,
02 OY 6018,02G 1142,94 KK6172,04WH 9687,07 KY7280,09 KE 9055,92LH 3841,11 CN 9222,
06WW 8562,00MO9392,92TN 6194,94CE 129,01TN 7165,06DL2067,93 MH 2144,99DL5665,
02LS159,95RN 4385,90 MH3472,91 CW 2149,96 W8318,11CE9570,10 DL558,03G 5332,
95W2167,97 CN 2906,91RN 8571,90 LK5670,01 W 7511,01MN8083,06 LH9289,02 LK 8219,
06 D1907,00 MO 9306,93 WX6022,95CN339,96CE 6631,94 KK9094,00KY5588,97 TS 4366,
01CE 932,92 WD7822,02MH1712,97 L 3007,95 TN 6597,92 WH 8564,95 WW 8794,94 W2279,
06 CW1188,98 CN8,06RN 3602,99 DL529,97 CE7687,94 LS864,08 WH5059,11WW 2322,
02LK 6750,98 LD 1544,04 WH9101,00C 2758,95LD5240,11 TN 2640,06LH6309,08 L 1181,
91 KE1348,96MH 5187,97 MN4892,96WX 3148,03 MH 2166,04 LH 4653,99G 531,10W6050,
12LD 4349,94LM 9096,91 MH 7549,04LK6804,99 RN2209,10 CE 2051,08RN2926,11 CN9667,
92 LM420,07 G2324,99 TS 5770,97MN 8412,99 LM426,00 LK 6123,92 LS41,99SO9833,
09 TS544,09WD1700,96LD 7527,96 KK4880,92KE9800,11 LD3020,05L1398,09WD9545,
07 D4602,98CW 6893,04 MH7963,91CE 121,92SO 5457,98CW 7455,96DL5743,95 C6379,
01 TN8204,12 KK 2887,00KK 6371,11 KK 1824,96MH412,93LD 1902,05LS 1449,90C 2258,
97D 8972,11C1633,10WX3040,10 L2617,09TN 9303,08CE4277,03LM 3152,00G7226,
09KE 9962,93 MN7154,02LS 9328,06MN496,97 LH9067,03 CN 9635,92WW9201,98 L 3379,
05SO 431,12OY833,04KE 6759,05 TS5906,05G7965,01CE3877,06TS6981,94C7564,
06 DL6633,09 C6157,03 RN 3460,04TS5357,91 DL6946,93TN9969,04CN5685,02SO4009,
08KK 7856,98 RN 4679,08 MH8778,96WD 3952,08TS 9773,04 LH9707,10 CW 8596,03 LH 474,
98CW5370,95 LH7441,93LM 9388,94D1718,02 WX860,07TS6493,00CE 9467,94SO 4100,
03 LD 4506,07 LH 8630,00 TS2700,98 LD1121,99CW2252,92 LD7179,95KK54,90 TN5567,
06MN2547,04MO715,01CE 5906,04 CW5641,95 WH 3730,01G 3443,99KY8370,03 LD 2682,
02KE 7631,11LS 2829,10KE 1478,92 WX 1802,09 CN 2441,95 W 5740,10CE 9755,94CN 7059,
08 SO 6361,97 KE 6654,95 LD 2428,10 WH9520,93 D1030,05 KE5306,06MO 5296,09OY 5,
93 TS 319,06 DL6559,95 CN 3173,00KE 8184,11 C 5709,09LK2248,03 RN 4697,03 WX 6240,
94 CN4169,11 MN 3258,09MH4298,95 MN 8311,97W 8203,10L209,07 RN3155,01WH 6605,
93 KE568,00G 2740,02OY2062,00 KY1203,91MO 8035,07MO 629,07LD 4318,90KE3368,
96RN 9545,93LK 4733,08 LS 5949,05 LS1440,10 LD4066,90 LH 2099,92 W3890,90RN 4274,
98L2584,96G7457,12 L96,94KY 9644,90L6771,92 DL 2827,93TS 958,92W 3973,
02 WH 4067,11LK 7923,10 TN 6910,05TN 5357,92CE 5173,05 MH 6712,09 CE6608,00 SO 3947,
06WD5305,95SO 9538,02 WD 3707,92C2424,97 MN4880,05 OY6043,07KK1908,12L 4580,
94CE8829,11 MN1275,91 KE5671,96LS 1781,07WH 6180,97 OY 6328,96 KY9809,10 MO 5502,
12L 3152,06SO 5159,99 DL 980,91CW 9014,95MO3644,04MH 1258,08 SO 8067,02G 2835,
96LD684,92 LK 1340,11 WH6394,10WX6577,12WH1160,02 WD8319,07 KK 2719,00DL 4478,
01LS 4007,92D2494,96 OY 4153,04 OY3051,10 LK 8864,93CE 8053,04RN4207,11 DL 7061,
91WX8202,99KY1825,05MH3475,10 MH4325,94 KK 912,04CW 2486,06OY 722,03LM 705,
11C9416,01 G 1410,12 MN2496,97 KY 4094,04LS 5520,11 LS 714,00KE5819,92RN 214,
95DL2374,05 WH 170,95 LD8965,98 KK 3535,94 LH1242,96LH2180,95TN9896,94L 3842,
08KE2024,07LD 3189,05 L 518,01KK2560,95KE 5915,08 WH621,01 C 7586,08 LK3258,
06 WD 7018,12 LM6676,12 MH7835,06RN 7532,93LD7218,93OY 4217,01 LS 5653,93 LD843,
06DL5222,06CN5299,98KE6538,08MN2808,10 LD6299,97SO9936,04D8442,94 LM 2960,
97TN 3936,04KY1165,03 C 6096,91D6011,90 OY 8404,04TS 2584,94 WD 473,02 KK 321,
95 CN45,97KY 6197,10 TN 6611,98 WD9402,10MH6963,92 SO 1577,10KK 8232,93LD9087,
00 KY 7777,01 WD2175,11MH6768,09OY 2245,91MH71,97 KE927,08 CW5744,90 MO 8837,
05 MO 4271,02 WH5178,92G8789,07LH 1530,10 CE813,07KE471,07 RN984,92C6031,
02 LM5644,94 TN3710,93TS 8704,95 RN964,08 MO5381,06KK 8829,95LD2708,97L 4104,
00WX 8763,07LS2254,00LS 2754,03 TS 584,91TS5419,08 MN1115,06CW9770,05 SO3833,
08LS 6411,10 LH 4510,00 LM3264,07LS1897,99 D3553,99LD 6891,00 L 7497,08 LD90,
99 MO 6034,91 MN 3084,01 MN 9784,96MO 5914,06TN3543,10RN 6406,07TS 8182,05 SO 3634,
93CN4782,05KE 4876,95 TN3839,01 TS 3978,09 L9002,94MH5578,93 MN5286,04 OY9056,
03SO6030,93 WH 3932,05 G8087,02CW 3742,06CE7140,00WX2777,11MN 3396,93TS2533,
92 W5065,97 LS6019,09MH 3230,98SO 5215,90 WH 6455,09 MH 2875,08 MH 8531,96 LD5495,
95LD4156,05SO1669,08 WX8473,03 MO4230,91 LK9840,10 KE 6607,11WD 5846,00 WD 2864,
91LH 9678,97CW 6964,01 KE3874,98WD3225,02WX7041,11 KY 5720,95 LM 4323,07 KK 6984,
05OY 6512,07KY3815,92OY 5387,96 D 1731,11 LM 2903,99 LD6936,98OY500,06WW879,
07CE7383,99C 3982,92 LM 5929,10 LH 1429,96 KY368,94 TN234,90 WW 5832,01TN6962,
08KK 7367,12 LM3618,03KY8288,93LH 3185,92 KE 9649,92 LS9453,04LK4730,91 SO 9852,
05 MO 6238,09TN 7561,08CE8198,94 LS5916,11MO7557,02 MO 5732,96KK2864,02 W 4405,
97 RN 3853,07KY5171,00L 8383,93 LD9696,02KE3375,98WD 6786,00 LK 7794,95LD2600,
02WX 6287,07 TN 1926,98L6919,91MO 7969,10 LD 280,92 CN 7532,95 L 6507,01LM5431,
06WH 2889,12 OY3574,98 CW 5709,96 L6259,09 CN 3728,02 WH74,90 LM 6911,98 LK8405,
05L6972,06G2082,96L 7399,90OY7255,02 WH 744,07CN3543,94W 2889,08 LH1811,
12SO5330,07KY5127,11WH 1569,97TS4660,01 W 6580,92KK 6826,97 DL4942,07SO9364,
96KY 4265,11 KK3415,09CW3495,04 G679,05 KY7676,05MH 9652,95MH1033,04 TS1392,
92MN 2343,00RN2566,05LM1323,04OY4535,02W 2363,09 KK84,94RN 4668,07 D1148,
95 DL2539,94OY8818,09LK 9959,92 WX 1898,94 KY3273,06 LS8892,05 WX 9811,08SO5441,
92 DL9009,08CE 341,01OY2519,11 WX 7597,00MH7878,04 RN 3849,92CW4680,07MO 3167,
93CW 6151,99MH8361,92LM2623,07 MO 6512,99 CN 6128,95 TN 9406,00WX 9010,93 OY 7899,
00 D157,96LH 4926,07 KY 3392,08TN26,12LM 6599,00LH9822,10G 1856,07D3166,
06 LK 5769,05 TN 6496,93G1441,00LD 7903,94 CE 5140,09MH6192,95KE 9484,99G1548,
96WD 3411,04CE 5176,12D 6700,06 TS 8016,04WX2429,00 OY 423,00SO5451,93 TN1220,
05 MH 4408,04LK1812,09CN 1384,06 KE8748,04LD 9392,10 WX1647,10 LH 7418,03 G6092,
91 MN4479,07 MN 7718,07 LD3920,04 D1506,12 W1953,09 KY3089,90KK 7783,02MO8150,
92LH 8204,07WD 4313,93WW 6178,00 SO3193,92 CN 9013,06 KY 9888,03 TS7696,98 CW3161,
07CN 9659,99 MO2380,07 DL 4790,11MH 1043,10C161,08KE884,01LK6526,99WH3352,
90 KY 6913,94 WH5254,97 MH 9909,05 RN4688,93 WD 2009,11 W9877,06DL1360,91 MN3212,
08SO 579,97D 2663,03 CW 7211,09KK 2844,93 MO4639,01L4376,02TS 3592,00KE 7037,
11 KE9129,03MH 4495,06TS1464,96 KK4499,95 LS 2077,96 WX2321,11W2179,92OY9360,
06 TS6149,11 CE 6249,99DL2490,01 WD 6994,06 MH3251,09KY 9817,05 CW 5633,08 LM1894,
01W7240,07 W415,96TS6828,93 TS 5863,00 LK 2391,04 RN5367,04KY 7318,01RN3118,
03 LD6761,96CN555,96LH940,04WW 3829,98 L 286,99W 8609,08G 1129,06 KY 9152,
06 SO 7102,10 LH 7343,09 TS4243,09LD 8828,03 WW373,96 CN 4089,09MH 7107,97 C7041,
90 MN 5696,94MN 8309,10 LH 2835,98CW3463,92W6087,99 KE 3049,94 G 9085,10 CE4076,
04 CE7443,12 WH5554,09 WX 7198,94D 741,99CE 8424,04 LH8758,90 D8910,07 RN9305,
99CN 2769,09 LD 8192,09 RN9710,09WD3502,05 SO 5158,01 TS3382,07 LM4329,02CN5854,
95 CN 3992,12 KK 8780,00 W 296,04 TS7410,97 SO5654,92RN6907,93L 100,97SO5180,
98CE 5198,95OY 5488,04 CE1018,93 CE9897,94LK7742,97WX1125,02WX 4406,07 KY 6919,
12C 3337,96 TS4272,95 LD 2948,00 MN 9927,97LS5565,09WW 4179,06LD5132,09 G 427,
92CE698,09LD7800,94 LS 1128,93 DL5986,08C 9879,10CE3692,10W 3086,96G6672,
96TN 1507,03 KK 403,96LM 5935,00WX2156,91 KY 4728,00KY 8969,94L1723,96 DL 1606,
01CN7798,09 KE788,97 OY 1693,11 SO4678,98L 6943,11 WD5302,99CE 5457,05 KY4626,
01 LS2284,99 MO 6799,08MN5818,02OY3876,00 TS 7429,97L5856,09SO1120,00LH8301,
99 LK 8398,91CN 8952,91 LS 4354,96MO8817,08 SO5650,05 KK 9178,90 WW9635,95MO7956,
02 CN 234,09OY2027,96G2191,98 KE4610,02 G 1296,91 KK2814,02WW 7490,04 RN2262,
05 KE 7535,95G6459,97CE 8798,05TS 4703,01KK9546,10MH6036,01WW65,92 C 8475,
94CN3475,04MN3800,05OY2799,10 D3090,95LK 8894,93 KK7224,12MO 1394,00LS8442,
08WW 5388,10CN2996,02 D 1179,01WH 3775,94RN2971,03 TS3859,99G7427,91MH4013,
11 G1165,94LD6741,08LK 1498,93L7409,09CW309,99KE 5675,00CN 2368,01 LD 2981,
99LD 6505,09 MO9675,91 CN7869,12MN 7463,03 LH 8500,96CE3964,93MO 147,02 LH9213,
11SO716,98WX 2672,07OY4070,03 CW826,09D 1693,94LK 2539,98LK 5613,95LM3068,
96KE 1258,92KY 9974,10 WH 9583,07WW 207,01LK 2860,99LD8361,00 LS 2504,95W 752,
12LM 9736,99KE8451,04TN 6891,08 W8235,02 WH4804,97G2354,91 WD 7774,10 TN 3748,
05KE 4521,90 MH 710,90WH846,03WD5626,98 CW 6323,03 CE3392,01CE 4341,12 G1950,
02CN7703,04G 6343,97LS 3443,03 CW8303,95SO 2506,07 KE 986,06 SO 6830,03L6620,
99 WX 6581,03 TS 8055,93MH 9802,03 WW 868,02 G 578,94 WD4665,91WH 7378,10LD1826,
00G2357,95 L 1931,09 LM3690,02W 6270,11SO5257,11 LD 577,00 MH1081,12WX5467,
09 TN1269,12 MN 3601,01SO 3397,02 WD 4112,05 CW 72,02WD 8281,08CW 3129,02L3544,
93 C5818,04 LM 4569,99WH 1295,92MO 2408,12LD 3564,93CN 3293,91 TN 2239,98TS 3784,
10CW 6320,95 LK5447,00TN2889,94DL242,95L 1843,11C3338,07DL7411,09 CE 7278,
99 SO 5445,07 L 5370,06 WX3692,02LD 1153,93D1425,91 W 8852,99 C7618,91 DL 9233,
03 LD966,12 KK9336,96CN 4729,03KE 9677,94WW 8809,04CW 736,92 L6467,92 WD 2502,
99 MN 4400,04 LK7736,05TS12,00TS5894,08WX5736,96RN 845,07 LH6429,93 G5,
93 LH 5739,07 LK 4830,98WH 1781,00 KE5377,97 RN 1557,03LS3265,11MN9684,09 OY 4678,
99 KY6959,07 MN 5425,06 SO 1857,00LD 4431,09 TN6690,96OY6840,10MN5173,04CE8094,
96LS9520,92 L1519,03 D9900,02 MH2995,06LM 3582,02WW 1987,02W3911,95 G 1370,
91LH 3534,09 TN 3157,03 TS 1927,09KY93,97 TS 4132,09 DL7289,09 G7138,95D 4501,
92 WX 8804,11SO275,06 L4863,08SO 9214,07 L 5025,11 CN 3896,93 D4382,92 KY2768,
08 MO433,02 WH4764,08 MH 5501,91MN 3520,04CW4911,91 LD 8207,96 LS995,06 TN 1326,
94LD 4189,99 LH4543,01OY4641,90 W3232,99 W 9881,06LH 5881,94MN 7241,01LM 1625,
94 MH9335,04SO 3871,06WH9762,06 MH115,98MH6193,09LM2652,91 MH3500,09 KY 5793,
99 KK9100,04TN 6670,95 LK2035,06WX6417,11MN1675,99LH9970,07W8665,95WX7606,
05WH 1507,00 D 2121,02CN5985,07 CN8153,02LS 9762,01 L5988,96 D 1294,04CW 1189,
07 LD5735,06 SO 4272,99WD 2658,92MH 5129,10 KY2624,05DL4866,03 WD 5593,02LD1065,
95 SO1729,03 MN9940,97 RN 9564,11 KK 2560,10LH 2291,11 KE9944,11LS6802,05 CN 9706,
11 LK3235,10 LS1644,11 MN3269,06 TS 1701,03 KE1275,95LK8764,93 LS 3050,11CE1209,
02KK 6963,03 LK 4839,00 CN 2904,93LM9345,00 LM6585,00SO452,09 TN 3245,95 MH 2208,
92 WX 3085,92 LK1207,09 RN 5458,02 SO 8584,09WW3615,91 G 8475,91DL3082,92 RN 3706,
11 SO4736,05 CN2254,90 LS 6147,09 CW 5715,03 LS 8819,98 LS4280,09KY3734,98 LH9901,
94MO6744,98 LS9989,96 MH9682,06 KE 665,95 CW2661,06WH9817,00LK 284,09 OY2688,
08 CE 6257,06 LK 3925,94TN 773,07 LH 836,00 MH 6730,99 RN9458,06LM 9488,94 KK2932,
05LM490,08 WD6160,99KE 4659,98KK 732,97KK1524,97LH4316,06WW8932,03 WH2174,
09 C9256,03 LH 8820,97 WX1028,07LK2267,10LM3797,11D4483,02 SO2139,11G 884,
98SO2506,03 SO 586,92 DL 7099,02 MO3122,92 MN4953,97 WX 7176,01TN6722,98CE1904,
11RN5552,01WX 1592,01SO8222,92WD 3055,90LS4402,01LK 1321,95 MN5137,02 SO 203,
96KK7181,09G 8435,93LH 6804,92RN 520,00 TN4352,99LH 1557,96KE 102,02LK2594,
07 LM 8348,97 SO3572,00 W2871,06WH4499,07 TN4956,04KE 7196,01KK 9268,02WD 3525,
98L 1647,00CW 5825,96CE 2109,05LM8926,05WD1277,08LS4126,93MN6207,93 MO5597,
02WH 4251,09 LS1312,92LM9685,93 CE 9571,95 TN 6010,93 DL169,10 MN 7268,10 W5925,
05 CW 9529,95KK 6496,91CW676,91 WW5791,07 KE4405,04 SO 6910,07 SO 6407,08G1986,
00 CW5018,93D 7659,99 CN424,96MO2007,07L340,10WX3499,93 MO 2532,93RN 3078,
97 CE6946,07LH3536,93SO641,11 TN 6306,94D 4985,95 D 429,95 TS6441,02 KY 6039,
07 MN4031,03 TN 367,09WH9583,03MH 6053,06 W 2008,08MH 3807,08 L6935,09LH 6332,
01 C5704,03SO1139,08 D7112,92MO2867,96KE 5761,02L3122,03WX8158,01 RN8155,
92 LM2497,09 MN3253,96 CE 7956,08 WD1892,97L 1401,01 DL8014,99 RN2750,98L9697,
92 OY 8750,12TS 1403,01DL9020,02 TN2694,08TS 8376,03WW 2062,91WD7867,98 G 2170,
91OY 375,99 LS 4891,96 LK9022,95OY1715,07 LM 1245,08DL 4080,94 TN3664,92 MO3753,
02 RN2829,01 LM1170,08 CW 1319,97 DL8622,90 LS4247,00 D 9957,07 WD 6277,00CN 2090,
92LK 7028,06 TS 9842,11 WW3205,90DL1474,04TS8595,08CN523,11 LS 9904,93 LS 1457,
97 KY3376,00CW 3898,06CW7537,05 W8053,03OY3919,92 KE3450,99CW 5045,91D 3244,
95RN6606,92LM7426,97WH 4976,95 WX 3283,93 CE7807,03MH9730,03 D 2458,97 WW 882,
01LM 6640,01 KE1580,05 RN7685,01 SO5070,91 WD9901,93 WH7687,04 MH4927,08 MN2845,
94 DL 3150,05MH 3031,10 CE7806,99LD 3496,95LM 9477,91 KY 68,09 MH 1395,97WH 9860,
98 C 4023,07 LS1697,96 C 6510,07CW 714,11 LM7968,00 KY 2204,03RN 527,04 CE 4968,
00 WW 424,10WW6965,94LK1978,95WX 1442,10RN 367,93 WW1761,92L 3297,04 KY7543,
98L3651,05 L 4213,95WX 7101,91 CE6435,95 LS 1951,97 LS 3072,04KK6644,96KY4942,
09 TN 1477,08WD 5841,94 CE239,01 G 3825,94D9296,06 WX 1577,96LS 2783,08 SO7871,
08 CE 4176,97 TS3607,93KE4850,02LM5695,97 MN 6990,05 CW 6356,93TS 1234,10SO 8150,
10 SO 2929,94CE1505,04LS6313,97 LK 9792,94 OY 4023,07 KE1295,08 WH3141,99 KY 9963,
08WX5799,92 WW 946,10LD 6764,92KE8742,04 D 6280,94G 7850,97MN 9956,04 WX8258,
03MH 8983,03WD 2505,10WH1264,06 WD1662,97 RN 4091,03KE4963,11TN 1054,01SO 420,
95 LH3521,94LM 993,91L 1125,90 CW5544,94C6279,08 LK 4100,90 D 7336,99DL 9838,
94 TN 166,01 MH 3094,03KY 2704,96MN 6311,08 DL 4655,92 OY 9942,03 MH434,02WX 2533,
12TS 7616,99LS9358,00LK2502,10SO1892,98RN5401,04LH9725,01DL 9518,90D 423,
96 MN1790,99 RN 4773,06 KE 1863,93D2242,96 LD 6288,09 CN6744,92 W358,93L7423,
06OY 6344,97 KE 4693,97 MO 7122,91 KY3659,90LM 1181,95 CN 6021,96 CW3629,12LS 6962,
07C 7149,02 KE5379,01 OY3501,95SO 7295,11 KY5760,91 OY2655,92SO2101,93 LH2078,
04MN 5876,01CW 909,93 KK 3582,03 LM4237,05 G923,04MN5851,93 CN8733,05RN1705,
01W440,93 RN705,08WH3678,11KY2043,06DL2795,96 CW 4148,02 L273,04LD9308,
99LM 2451,09 OY4452,98CN3919,95D122,91LK814,10 LD9835,99 KY 3405,90RN 2479,
00 SO 4401,07WH3658,02 SO373,02WD3830,95LD7804,03CN3090,10TN 3055,01KK4625,
98MH1761,97 MO1606,02MO29,06CW9672,05WH8525,00KK8818,10KK4881,01MH2406,
04C7690,05 W 5969,08LH 1952,02WX6492,92 KY 5597,07TS 1729,92W6546,02 L5022,
02 LH 563,04 KY 839,01KY 440,10 SO30,99 CN4286,92 WX 7630,05CW4837,08 LH4012,
06 W6982,10 CN 7425,12DL8494,05KE733,06WH67,95 CN1475,93 TS8197,11 OY 4674,
09 MO 5513,01SO5186,91 KE2435,06RN7204,95 MN 5429,00MO 5139,00 LM 6746,11 KY 2760,
12D8791,05 L7649,94 SO 965,03 LD 165,98LM4853,01 KK 473,94 LM 4356,03CN 2554,
00W 4234,98 CN9673,03 D4525,95C 4322,06 TS 9420,96WH 5592,06LK 9853,01 WX 4997,
02 G6027,92RN 5421,96OY 3238,03CN 8015,10 KY4984,93 LK 4961,95MH6916,03 DL 6958,
91 G3600,95 G 8782,93 CN4278,96 OY3038,08 KE 363,01WW6238,00CW4743,04RN5315,
04 G 4269,03RN 532,11KY1978,03TN 9495,93 W4490,05LK 9415,03G 4056,09 DL1952,
92 WX 257,94 L 8948,99WX 6494,08 TS 3112,05 LD3973,95TS 6250,04DL5513,12MH8323,
92MN2774,08 KY 3182,91 LS9362,00 MN 4836,06 OY4998,94RN 493,07RN 94,96 LD 718,
08 TS8364,08 OY1104,00G6737,05CE5153,91 W 6038,04TS1932,98KK3545,04WW9836,
06 CE 5207,95 TS 5914,98 MH3669,01 G7981,93LS 300,09MH 9750,09 WD9430,11 KY 838,
98RN9567,05D8255,12 TS5212,00CN 1520,06LH9352,01 MN 3210,99 D7883,98 CE2476,
